Number,Status,Phone,Location,Location2,Name,Categorie,Row,Col
62,영업/정상,041-569-1300,충청남도 천안시 서북구 불당동 682번지 ,"충청남도 천안시 서북구 검은들1길 25, 1층 (불당동)",블루가든천안불당점,커피숍,,
63,영업/정상, 041 5218088,충청남도 천안시 서북구 부대동 415-1번지 ,"충청남도 천안시 서북구 과수원길 18, A(교학동)동 지1층 (부대동, 한국기술교육대학교제2캠퍼스)",카페여유당,커피숍,,
64,영업/정상,없음,충청남도 천안시 서북구 업성동 174-1번지 ,"충청남도 천안시 서북구 번영로 705, 1층 (업성동)",블루포트서북경찰서점,커피숍,,
65,영업/정상, 041 5663735,충청남도 천안시 동남구 병천면 병천리 109-5번지 1층 ,"충청남도 천안시 동남구 병천면 병천2로 28, 1층",아리아리협동조합,커피숍,,
66,영업/정상,0507-1318-1246,충청남도 천안시 서북구 두정동 667번지 ,"충청남도 천안시 서북구 오성로 23, 1동 1층 (두정동, 은동빌딩)",그대와봄날,커피숍,,
67,영업/정상,041 551 2817,충청남도 천안시 서북구 두정동 84-1 ,"충청남도 천안시 서북구 두정로 289, 2층 (두정동, 두정역사)",코레일유통(주)마성떡볶이,커피숍,,
68,영업/정상,0507-1312-4505,충청남도 천안시 서북구 불당동 1477번지 ,"충청남도 천안시 서북구 불당24로 51, 금정타워 1층 102호 (불당동)",진수네드레스카페,커피숍,,
69,영업/정상,041-552-0484,충청남도 천안시 동남구 청수동 337번지 1층 ,"충청남도 천안시 동남구 청수15길 41, 1층 (청수동)",산타클라라,커피숍,,
70,영업/정상,070-4113-3281,충청남도 천안시 서북구 성정동 662-11번지 ,"충청남도 천안시 서북구 봉정로 228, 1층 (성정동)",카페지,커피숍,,
71,영업/정상,041 578 6410,충청남도 천안시 동남구 신방동 784-9번지 홈플러스테스코(주) 천안신방점 1층 ,"충청남도 천안시 동남구 신촌1길 23, 1층 (신방동, 홈플러스테스코(주) 천안신방점)",챔피언키즈스포츠클럽천안신방점,키즈카페,,
72,영업/정상,041 583 0707,"충청남도 천안시 서북구 성거읍 신월리 343-18번지 외 2필지 1,2층 ","충청남도 천안시 서북구 성거읍 봉주로 72-1, 1,2층",엔제리너스천안직산점,커피숍,,
73,영업/정상,041 522 8899,충청남도 천안시 서북구 두정동 973번지 ,"충청남도 천안시 서북구 부성1길 3, 1층 (두정동)",투썸플레이스천안두정점,커피숍,,
74,영업/정상,041-556-6696,충청남도 천안시 서북구 성정2동 1519 백석대학빌딩 103호,"충청남도 천안시 서북구 동서대로 129-12, 103호 (성정동,백석대학빌딩)",요거프레소,커피숍,,
75,영업/정상,041-522-5125,충청남도 천안시 동남구 신부동 455-9번지 ,"충청남도 천안시 동남구 먹거리11길 20, 1층 (신부동)",타이거슈가천안점,커피숍,,
76,영업/정상, 041 5535350,충청남도 천안시 서북구 백석동 152-5번지 ,"충청남도 천안시 서북구 백석로 73, 1~2층 (백석동)",보드웰,커피숍,,
77,영업/정상,041 588 7868,충청남도 천안시 서북구 입장면 가산리 361-7 입장상휴게소 ,충청남도 천안시 서북구 입장면 연곡길 407 (입장상휴게소),주식회사케이알산업입장거봉포도(서울)휴게소청년비범한꼬치,커피숍,,
78,영업/정상,041 521 9568,충청남도 천안시 서북구 부대동 275 ,"충청남도 천안시 서북구 천안대로 1223-24, 1층 (부대동, 학생회관)",공주대학교공과대학커피전문점,커피숍,,
79,영업/정상,041-555-9844,충청남도 천안시 서북구 두정동 928-2 ,"충청남도 천안시 서북구 원두정8길 19, 1층 (두정동)",메가엠지씨커피천안두정중앙점,커피숍,,
80,영업/정상,041 552 8880,충청남도 천안시 동남구 오룡동 176-2번지 1층 ,"충청남도 천안시 동남구 명동길 22, 1층 (오룡동)",멋,커피숍,,
81,영업/정상, 041 6207000,충청남도 천안시 동남구 신부동 354-1 외56필지 ,"충청남도 천안시 동남구 만남로 43 (신부동,외56필지)",던킨도너츠천안야우리점,커피숍,,
82,영업/정상,0507-1415-3406,충청남도 천안시 서북구 쌍용동 1533번지 ,"충청남도 천안시 서북구 월봉로 64-1, 1층 (쌍용동)",오드리,커피숍,,
83,영업/정상,041 578 0233,"충청남도 천안시 동남구 신방동 785-43번지 외1필지, 1층 102호 ","충청남도 천안시 동남구 신촌2길 16, 1층 102호 (신방동)",커피그래비티,커피숍,,
84,영업/정상,041-902-9792,충청남도 천안시 서북구 불당동 715번지 ,"충청남도 천안시 서북구 검은들3길 39, 1층 103호 (불당동)",띠아모천안불당점,커피숍,,
85,영업/정상,0507-1401-5965,충청남도 천안시 서북구 두정동 1701번지 ,"충청남도 천안시 서북구 두정역동6길 12, 1층 (두정동, 리치빌)",민스커피,커피숍,,
86,영업/정상,041 411 5427,충청남도 천안시 서북구 불당동 1299번지 갤러리아백화점 8층 ,"충청남도 천안시 서북구 공원로 227 (불당동,갤러리아백화점 8층)",빈스앤베리즈센터시티3호점,커피숍,,
87,영업/정상,041 411 5425,충청남도 천안시 서북구 불당동 1299번지 갤러리아백화점 지하1층 ,"충청남도 천안시 서북구 공원로 227 (불당동,갤러리아백화점 지하1층)",빈스앤베리즈센터시티1호점,커피숍,,
88,영업/정상,041 411 5426,충청남도 천안시 서북구 불당동 1299번지 갤러리아백화점 3층 ,"충청남도 천안시 서북구 공원로 227 (불당동,갤러리아백화점 3층)",빈스앤베리즈센터시티2호점,커피숍,,
89,영업/정상,070-4319-3584,충청남도 천안시 서북구 두정동 796번지 1층 ,"충청남도 천안시 서북구 오성로 36, 1층 (두정동)",세나클,커피숍,,
90,영업/정상,041 555 8497,"충청남도 천안시 동남구 대흥동 124-2번지 외2필지 1,2층 ","충청남도 천안시 동남구 대흥로 235, 1,2층 (대흥동)",파스쿠찌천안역점,커피숍,,
91,영업/정상, 041 5231252,충청남도 천안시 서북구 성정동 1133번지 외3필지 1동 ,"충청남도 천안시 서북구 성정중1길 26-2, 1동 (성정동,외3필지)",카페아모르,커피숍,,
92,영업/정상,042 825 3130,충청남도 천안시 서북구 차암동 421번지 아드반테스트코리아(주) ,"충청남도 천안시 서북구 3공단6로 140, 아드반테스트코리아(주) 1동 2층 (차암동)",아드반테스트코리아카페,커피숍,,
93,영업/정상,041-575-4640,충청남도 천안시 서북구 쌍용동 380-24번지 ,"충청남도 천안시 서북구 새말3길 6, 1층 (쌍용동)",커피소사이어티,커피숍,,
94,영업/정상,041-622-3772,충청남도 천안시 동남구 목천읍 신계리 107-32번지 1층 ,"충청남도 천안시 동남구 목천읍 신계5길 7, 1층",카페왈라,커피숍,,
95,영업/정상,041 552 1020,충청남도 천안시 동남구 신부동 379번지 2동 1층 ,"충청남도 천안시 동남구 먹거리3길 21, 2동 1층 (신부동)",슬로우커피3,커피숍,,
96,영업/정상,없음,충청남도 천안시 서북구 성환읍 성환리 458 ,"충청남도 천안시 서북구 성환읍 성환18길 28, 1층",매주리,커피숍,,
97,영업/정상, 041 5521963,충청남도 천안시 서북구 두정동 692번지 ,"충청남도 천안시 서북구 두정로 122, 1층 101호 (두정동)",행복돈까스,커피숍,,
98,영업/정상,0507-1301-0521,충청남도 천안시 서북구 불당동 1540번지 ,"충청남도 천안시 서북구 불당25로 142, 1층 114호 (불당동, 골든프라자)",쥬씨신불당점,커피숍,,
99,영업/정상,041 556 5115,충청남도 천안시 서북구 두정동 635번지 외1필지 1동(1층) ,"충청남도 천안시 서북구 늘푸른2길 5 (두정동,외1필지 1동(1층))",카페치올라,커피숍,,
100,영업/정상, 041 5552065,충청남도 천안시 서북구 불당동 1383번지 ,"충청남도 천안시 서북구 공원로 248, 1층 (불당동)",메리골드,커피숍,,
101,영업/정상, 041 5822122,충청남도 천안시 서북구 성환읍 성환리 449-314번지 ,"충청남도 천안시 서북구 성환읍 성환1로 229-12, 1층",문토스트커피,커피숍,,
102,영업/정상,041 578 8222,충청남도 천안시 서북구 쌍용동 389-41번지 ,"충청남도 천안시 서북구 새말3길 12, 1층 (쌍용동)",아파트옆식물원까페휴심,커피숍,,
103,영업/정상,없음,충청남도 천안시 동남구 사직동 181-3번지 ,"충청남도 천안시 동남구 사직로 10-6, C동 1층 23호 (사직동)",겨자씨까페,커피숍,,
104,영업/정상,0507-1349-0101,충청남도 천안시 서북구 두정동 1265번지 1동 ,"충청남도 천안시 서북구 두정로 197, 1동 1층 (두정동)",카페모리앙,커피숍,,
105,영업/정상,041-574-1300,충청남도 천안시 서북구 쌍용동 1545번지 ,충청남도 천안시 서북구 월봉로 79 (쌍용동),쏠뱅,커피숍,,
106,영업/정상,없음,충청남도 천안시 서북구 쌍용동 1201번지 ,"충청남도 천안시 서북구 미라2길 12-1, 1층 (쌍용동)",카페에스피,커피숍,,
107,영업/정상, 041 5612220,충청남도 천안시 서북구 성정동 1335번지 ,"충청남도 천안시 서북구 성정공원7길 3, 1층 101호 (성정동)",유달리두정점,커피숍,,
108,영업/정상,041-575-6237,충청남도 천안시 서북구 쌍용동 1293 ,"충청남도 천안시 서북구 불당대로 265, 1층 (쌍용동, OK빌딩)",달커피,커피숍,,
109,영업/정상,070-8825-6129,충청남도 천안시 동남구 목천읍 신계리 250-1번지 1층 ,"충청남도 천안시 동남구 목천읍 목천안터1길 77-6, 1층",딜,커피숍,,
110,영업/정상,없음,"충청남도 천안시 동남구 구룡동 564-12번지 , 지하1층 ","충청남도 천안시 동남구 풍세로 708 (구룡동,, 지하1층)",그레이스하늘샘까페,커피숍,,
111,영업/정상,041 908 5435,충청남도 천안시 동남구 원성동 592-21번지 1층 ,"충청남도 천안시 동남구 원거리3길 10, 1층 (원성동)",카페파구스천안남산점,커피숍,,
112,영업/정상,041 553 3720,"충청남도 천안시 동남구 신부동 966번지 천안신부동더샾 111,112호 ","충청남도 천안시 동남구 만남로 9 (신부동,천안신부동더샾 111,112호)",스타벅스천안신부동점,커피숍,,
113,영업/정상, 041 5222721,충청남도 천안시 서북구 불당동 1426번지 ,"충청남도 천안시 서북구 불당14로 11, 상가동 지1층 107,108,109호 (불당동, 불당풍림아이원아파트)",정진원의커피볶는집로스터스,커피숍,,
114,영업/정상,0507-1404-8440,충청남도 천안시 동남구 유량동 61-5번지 2층 ,"충청남도 천안시 동남구 양지말1길 11-12, 2층 (유량동)",메종드엠,커피숍,,
115,영업/정상, 041 5786440,충청남도 천안시 서북구 불당동 1260번지 ,"충청남도 천안시 서북구 불당6길 17, 1층 (불당동)",안나카페,커피숍,,
116,영업/정상,041-552-6655,"충청남도 천안시 서북구 백석동 292-3번지 외2필지(660-2,660-3) 1층 ","충청남도 천안시 서북구 백석로 10, 1층 (백석동)",탐앤탐스천안백석점,커피숍,,
117,영업/정상,041 565 0420,충청남도 천안시 동남구 신부동 461-5번지 지하1층 ,"충청남도 천안시 동남구 만남로 34, 지하1층 (신부동)",카페라고,커피숍,,
118,영업/정상,041-523-9979,충청남도 천안시 서북구 불당동 1537번지 퍼스트프라자 506호,"충청남도 천안시 서북구 불당21로 67-12, 5층 506호 (불당동)",시크릿쥬쥬또봇천안불당점,키즈카페,,
119,영업/정상,041 577 7977,충청남도 천안시 동남구 봉명동 40-20번지 가동 1층 ,"충청남도 천안시 동남구 봉정로 15-1, 가동 1층 (봉명동)",딜리셔스,커피숍,,
120,영업/정상,041 523 7887,충청남도 천안시 서북구 두정동 1276번지 1층 ,"충청남도 천안시 서북구 두정로 213, 1층 (두정동)",연이낭자,커피숍,,
121,영업/정상,010-6753-3147,충청남도 천안시 동남구 다가동 408-28번지 1층 ,"충청남도 천안시 동남구 다가말2길 61, 1층 (다가동)",선길,커피숍,,
122,영업/정상,0507-1421-3179,충청남도 천안시 동남구 신방동 60-1 1층 ,"충청남도 천안시 동남구 서부대로 257-5, 1층 (신방동)",카페316,커피숍,,
123,영업/정상,041-558-8910,충청남도 천안시 동남구 신부동 72-40번지 외 1필지 1층 ,"충청남도 천안시 동남구 신부9길 4, 1층 (신부동)",야미야미분식다방,커피숍,,
124,영업/정상,없음,충청남도 천안시 동남구 용곡동 298-2번지 1층 ,"충청남도 천안시 동남구 용곡6길 44, 1층 (용곡동)",커피와꽃향기,커피숍,,
125,영업/정상,없음,충청남도 천안시 서북구 성정동 677-13번지 ,"충청남도 천안시 서북구 쌍용대로 240, 1층 (성정동)",참도시락,커피숍,,
126,영업/정상,041-588-0550,"충청남도 천안시 서북구 직산읍 삼은리 311번지 1층, 2층 ","충청남도 천안시 서북구 직산읍 삼은3길 10, 1, 2층",이디야커피천안직산점,커피숍,,
127,영업/정상,041-562-5552,충청남도 천안시 서북구 두정동 910 1층 ,"충청남도 천안시 서북구 두정로 166, 1층 (두정동)",빽다방천안두정중앙,커피숍,,
128,영업/정상,041-534-6232,충청남도 천안시 서북구 불당동 1289번지 펜타포트몰B동 지하2층 ,"충청남도 천안시 서북구 공원로 196, 지하2층 (불당동, 펜타포트몰B동)",카페베네펜타포트점,커피숍,,
129,영업/정상, 041 5771252,충청남도 천안시 서북구 불당동 1799번지 ,"충청남도 천안시 서북구 불당19로 92, 근생동 1~2층 (불당동)",투썸플레이스천안신불당에스케이,커피숍,,
130,영업/정상,041-523-8909,충청남도 천안시 서북구 성성동 508번지 ,충청남도 천안시 서북구 번영로 467 (성성동),더카페엠지,커피숍,,
131,영업/정상,041-566-2737,충청남도 천안시 동남구 대흥동 80번지 삼영빌딩 1층 102호,"충청남도 천안시 동남구 대흥로 228, 삼영빌딩 1층 102호 (대흥동)",빽다방천안역점,커피숍,,
132,영업/정상,041 522 3452,충청남도 천안시 동남구 안서동 522번지 ,"충청남도 천안시 동남구 단대로 119, 지하1층 (안서동, 단국대학교, 단우홀)",일층상사,커피숍,,
133,영업/정상, 041 5221602,충청남도 천안시 서북구 백석동 1051번지 ,"충청남도 천안시 서북구 한들1로 196, 2층 B201,B202,B203호 (백석동, 천안마치에비뉴2)",모넬로,키즈카페,,
134,영업/정상, 041 5753472,충청남도 천안시 서북구 쌍용동 446-23번지 외1필지 ,"충청남도 천안시 서북구 충무로 133, 1층 (쌍용동, 북일빌딩1동)",스타벅스천안쌍용역점,커피숍,,
135,영업/정상,041-556-8751,"충청남도 천안시 동남구 병천면 가전리 190-62번지 ,2동 지하1층 ","충청남도 천안시 동남구 병천면 가전7길 1-12 (,2동 지하1층)",커피방울,커피숍,,
136,영업/정상,없음,충청남도 천안시 동남구 목천읍 교촌리 232-4번지 외29필지 제1동 연수수련공원관리동 2층 ,"충청남도 천안시 동남구 목천읍 서리4길 48, 2층 (제1동 연수수련공원관리동)",쉐이드트리,커피숍,,
137,영업/정상,0507-1303-2358,충청남도 천안시 동남구 신부동 456-17번지 2층 ,"충청남도 천안시 동남구 먹거리3길 14, 2층 (신부동)",카페어젠,커피숍,,
138,영업/정상,041-567-6362,충청남도 천안시 서북구 쌍용동 1697 ,"충청남도 천안시 서북구 월봉4로 59, 1층 (쌍용동)",서정이네커피콩,커피숍,,
139,영업/정상,0507-1347-0403,충청남도 천안시 동남구 신부동 465-19번지 3층 ,"충청남도 천안시 동남구 먹거리9길 28, 3층 (신부동)",수상한홍카페,커피숍,,
140,영업/정상,041 621 4007,충청남도 천안시 서북구 불당동 767번지 ,충청남도 천안시 서북구 봉서산로 69-12 (불당동),루카스카페,커피숍,,
141,영업/정상,041 571 3355,"충청남도 천안시 동남구 신방동 54-3번지 1,2층 ","충청남도 천안시 동남구 수곡2길 15, 1,2층 (신방동)",투썸플레이스,커피숍,,
142,영업/정상,1522-3232,충청남도 천안시 서북구 두정동 975-1번지 1층 ,"충청남도 천안시 서북구 부성4길 3, 1층 (두정동)",스타벅스천안두정점,커피숍,,
143,영업/정상,041 568 9919,"충청남도 천안시 서북구 두정동 701번지 1,2층 ","충청남도 천안시 서북구 서부대로 739, 1,2층 (두정동)",탐앤탐스천안에비뉴점,커피숍,,
